dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
adb_annthyroid,real,ensemble,7200,534,534,0.284644,0.284644,0.284644,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,iforest,7200,534,360,0.108333,0.073034,0.087248,0.556684,0.091367,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,ocsvm,7200,534,360,0.144444,0.097378,0.116331,0.564102,0.104466,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,lof,7200,534,360,0.175,0.117978,0.14094,0.67524,0.133454,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,autoencoder,7200,534,360,0.094444,0.06367,0.076063,0.579188,0.096335,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,lstm,7200,534,360,0.086111,0.058052,0.069351,0.501299,0.076495,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,flatline,7200,534,360,0.005556,0.003745,0.004474,0.420719,0.058064,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,temporal_change,7200,534,360,0.327778,0.220974,0.263982,0.744766,0.21787,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
adb_annthyroid,real,freeze,7200,534,280,0.064286,0.033708,0.044226,0.501809,0.073024,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,adb_annthyroid
kddcup99_http,real,ensemble,10000,376,450,0.835556,1.0,0.910412,0.996155,0.835556,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,iforest,10000,376,195,0.082051,0.042553,0.056042,0.982006,0.655457,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,ocsvm,10000,376,500,0.752,1.0,0.858447,0.996155,0.835556,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,lof,10000,376,500,0.032,0.042553,0.03653,0.335465,0.055018,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,lstm,10000,376,500,0.684,0.909574,0.780822,0.984805,0.626875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,flatline,10000,376,500,0.0,0.0,0.0,0.174431,0.043313,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,temporal_change,10000,376,499,0.024048,0.031915,0.027429,0.039919,0.035875,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_http,real,freeze,10000,376,478,0.75523,0.960106,0.845433,0.981763,0.95798,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",ocsvm,kddcup99_http
kddcup99_smtp,real,ensemble,9571,3,97,0.020619,0.666667,0.04,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,iforest,9571,3,479,0.004175,0.666667,0.008299,0.867858,0.014159,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,ocsvm,9571,3,479,0.004175,0.666667,0.008299,0.703595,0.014008,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,lof,9571,3,479,0.004175,0.666667,0.008299,0.751707,0.014031,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,lstm,9571,3,479,0.004175,0.666667,0.008299,0.901582,0.014255,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,flatline,9571,3,479,0.0,0.0,0.0,0.276721,0.000353,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
uci_glass_rare_class,real,ensemble,214,9,9,0.111111,0.111111,0.111111,0.83794,0.160214,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.673713,0.090148,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.465041,0.090827,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,lof,214,9,11,0.181818,0.222222,0.2,0.83794,0.160214,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,autoencoder,214,9,11,0.090909,0.111111,0.1,0.517615,0.079948,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.75935,0.086072,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_pendigits_digit0,real,ensemble,7494,780,780,0.238462,0.238462,0.238462,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,iforest,7494,780,375,0.152,0.073077,0.098701,0.587406,0.127979,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.16,0.076923,0.103896,0.701612,0.160566,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,lof,7494,780,375,0.162667,0.078205,0.105628,0.503141,0.115363,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.096,0.046154,0.062338,0.284262,0.077531,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,lstm,7494,780,375,0.189333,0.091026,0.122944,0.620121,0.149244,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,flatline,7494,780,375,0.008,0.003846,0.005195,0.284357,0.066998,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,temporal_change,7494,780,375,0.269333,0.129487,0.174892,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,freeze,7494,780,332,0.054217,0.023077,0.032374,0.400857,0.08229,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
